2 0.533797 1 0.707107  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000456
4 1.817796 1 1.036566  4 1 0 0   0 0 0  0.000000 0.000000  2.505994	0 0.000508
8 5.511095 1 2.793802  8 1 0 0   0 0 0  0.000000 0.000000  5.065306	0 0.000674
16 7.934823 1 3.747913  16 1 0 0   0 0 0  0.000000 0.000000  8.797637	0 0.000699
32 11.916661 1 4.576346  32 1 0 0   0 0 0  0.000000 0.000000  18.821612	0 0.000876
64 15.696522 1 5.457557  64 1 0 0   0 0 0  0.000000 0.000000  37.589905	0 0.001149
128 19.235221 5 5.494369  128 1 0 0   0 0 0  0.000000 0.000000  72.727136	0 0.001245
256 22.486248 12 5.914669  256 1 0 0   0 0 0  0.000000 0.000000  138.736076	0 0.001763
512 26.293396 26 6.853572  512 1 0 0   0 0 0  0.000000 0.000000  265.582012	0 0.002090
1024 31.208347 63 7.898157  1024 1 0 0   0 0 0  0.000000 0.000000  515.381595	0 0.003021
2048 36.370077 131 8.987539  2048 1 0 0   0 0 0  0.000000 0.000000  959.102435	0 0.004214
4096 42.766672 313 10.550434  4096 1 0 0   0 0 0  0.000000 0.000000  1827.615863	0 0.007222
8192 50.830163 725 12.754922  8192 1 0 0   0 0 0  0.000000 0.000000  3484.131009	0 0.014372
16384 60.671958 1764 15.807079  16384 1 0 0   0 0 0  0.000000 0.000000  6830.432365	0 0.026591
32768 71.962945 3949 19.407910  32768 1 0 0   0 0 0  0.000000 0.000000  13071.956215	0 0.057081
65536 86.011072 9234 24.226530  65536 1 0 0   0 0 0  0.000000 0.000000  25643.566796	0 0.124454
131072 103.278320 21998 30.286139  131072 1 0 0   0 0 0  0.000000 0.000000  50031.950670	0 0.283013
262144 124.886196 53068 38.037049  262144 1 0 0   0 0 0  0.000000 0.000000  98728.419981	0 0.694812
524288 151.502623 128596 47.692182  524288 1 0 0   0 0 0  0.000000 0.000000  194097.208852	0 2.120287
1000000 182.338135 296461 58.980598  1000000 1 0 0   0 0 0  0.000000 0.000000  365352.338573	0 5.640094
