0  -1  0 0  94772	
4  0  0 0  7361	 3
5  0  0 0  54	 4
6  0  0 0  16224	 5
7  0  0 0  29	 6
11  0  0 0  1046	 10
12  0  0 0  9229	 11
15  0  0 0  27826	 14
16  0  0 0  8	 15
22  0  0 0  3101	 21
51  0  0 0  271	 50
65  0  0 0  40	 64
91  0  0 0  2	 91
112  7  0 0  3867	 6 112
113  0  0 0  11	 113
114  0  0 0  70	 114
150  0  0 0  31	 150
155  0  0 0  7	 155
164  4  0 0  1541	 3 164
166  0  0 0  9	 166
171  7  0 0  73	 6 171
205  0  0 0  3	 205
212  0  0 0  40	 212
230  0  0 0  30	 230
240  0  0 0  9	 240
244  0  0 0  49	 244
252  0  0 0  69	 252
255  15  0 0  35	 14 255
321  0  0 0  3545	 321
330  0  0 0  23	 330
332  0  0 0  65	 332
361  6  0 0  21	 5 361
374  0  0 0  354	 374
401  0  0 0  9	 401
412  0  0 0  181	 412
418  0  0 0  46	 418
429  12  0 0  529	 11 429
475  188  0 0  21	 188 475
481  0  0 0  72	 481
485  0  0 0  86	 485
517  0  0 0  74	 517
527  114  0 0  100	 114 527
570  7  0 0  10	 6 570
572  0  0 0  8	 572
580  541  0 0  10	 541 580
595  6  0 0  7	 5 595
610  0  0 0  13	 610
615  0  0 0  11	 615
650  12  0 0  102	 11 650
652  15  0 0  57	 14 652
658  15  0 0  18	 14 658
680  0  0 0  8	 680
683  112  0 0  11	 6 112 683
693  114  0 0  110	 114 693
714  0  0 0  22	 714
720  0  0 0  1780	 720
727  15  0 0  27	 14 727
730  171  0 0  38	 6 171 730
754  7  0 0  10	 6 754
779  0  0 0  2815	 779
817  6  0 0  3268	 5 817
839  0  0 0  91	 839
854  0  0 0  4	 854
866  0  0 0  280	 866
894  0  0 0  53	 894
935  22  0 0  8	 21 935
943  0  0 0  5	 943
951  15  0 0  10	 14 951
953  22  0 0  415	 21 953
955  22  0 0  1	 21 955
959  0  0 0  2	 959
963  226  0 0  2	 226 963
983  773  0 0  2	 773 983
1081  12  0 0  11	 11 1081
1100  0  0 0  1549	 1100
1128  6  0 0  132	 5 1128
1132  0  0 0  6285	 1132
1145  7  0 0  1280	 6 1145
1158  0  0 0  6	 1158
1163  0  0 0  26	 1163
1232  0  0 0  25	 1233
1235  0  0 0  47	 1236
1237  0  0 0  7	 1238
1242  12  0 0  77	 11 1243
1356  15  0 0  8	 14 1358
1362  0  0 0  10	 1364
1390  0  0 0  28	 1392
1396  0  0 0  9	 1398
1403  0  0 0  28	 1405
1405  22  0 0  5	 21 1407
1414  0  0 0  7673	 1416
1455  0  0 0  1	 1458
1501  779  0 0  6	 779 1505
1506  0  0 0  5	 1510
1510  12  0 0  50	 11 1514
1531  0  0 0  12	 1535
1567  0  0 0  626	 1571
1569  0  0 0  35	 1573
1576  0  0 0  29	 1580
1593  51  0 0  1443	 50 1597
1600  0  0 0  322	 1604
1624  244  0 0  26	 244 1628
1645  0  0 0  78	 1649
1658  0  0 0  1	 1662
1710  429  0 0  12	 11 429 1715
1763  0  0 0  25	 1769
1771  0  0 0  20	 1777
1785  6  0 0  50	 5 1791
1797  0  0 0  11	 1803
1892  313  0 0  64	 11 161 313 1898
