2 2.899817 1 0.866025  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000145
4 4.544489 1 1.219579  4 1 0 0   0 0 0  0.000000 0.000000  2.559313	0 0.000182
8 6.492128 1 1.446306  8 1 0 0   0 0 0  0.000000 0.000000  4.905349	0 0.000194
16 8.208935 1 1.699714  16 1 0 0   0 0 0  0.000000 0.000000  8.850956	0 0.000263
32 9.031271 1 2.327888  32 1 0 0   0 0 0  0.000000 0.000000  16.795490	0 0.000291
64 10.531674 1 2.941021  64 1 0 0   0 0 0  0.000000 0.000000  30.711752	0 0.000415
128 12.168387 1 3.491211  128 1 0 0   0 0 0  0.000000 0.000000  55.825008	0 0.000603
256 13.961714 7 3.993902  256 1 0 0   0 0 0  0.000000 0.000000  92.348533	0 0.000726
512 16.024405 10 4.578834  505 1 0 0   0 0 0  0.000000 0.000000  150.572897	0 0.001076
1024 18.509979 20 5.386539  959 1 0 0   0 0 0  0.000000 0.000000  254.704933	0 0.001596
2048 21.477031 54 6.620171  1757 1 0 0   0 0 0  0.000000 0.000000  459.876501	0 0.002826
4096 25.007836 92 8.136741  3258 3 0 0   0 0 0  0.000000 0.000000  740.174561	0 0.005050
8192 29.225791 171 10.007871  5648 6 0 0   0 0 0  0.000000 0.000000  1278.696608	0 0.009410
16384 34.128593 323 12.370366  9914 11 0 0   0 0 0  0.000000 0.000000  2153.341724	0 0.018778
32768 39.505553 674 15.951159  19000 32 0 0   0 0 0  0.000000 0.000000  4137.555533	0 0.042786
65536 44.973930 1320 22.189879  37378 74 0 0   0 0 0  0.000000 0.000000  8456.875587	0 0.087535
131072 50.149316 2581 31.341456  76856 136 0 0   0 0 0  0.000000 0.000000  18034.836775	0 0.199246
262144 55.060261 5191 42.847427  160027 278 0 0   0 0 0  0.000000 0.000000  37507.794011	0 0.546657
524288 59.883593 10301 56.000675  323893 541 0 0   0 0 0  0.000000 0.000000  75638.567389	0 2.082693
1048576 64.681738 20706 71.965977  648276 1081 0 0   0 0 0  0.000000 0.000000  151258.633080	0 9.161337
2097152 69.497195 41621 92.234162  1298449 2188 0 0   0 0 0  0.000000 0.000000  301556.084284	0 46.299473
4194304 74.322143 83524 117.660260  2588759 4381 0 0   0 0 0  0.000000 0.000000  602125.393565	0 258.932953
8388608 79.149752 167617 148.428422  5178632 8488 0 0   0 0 0  0.000000 0.000000  1205314.874703	0 1473.726685
10000000 80.373294 199822 157.789535  6173044 10174 0 0   0 0 0  0.000000 0.000000  1435184.237004	0 2274.908936
