2 2.899817 1 0.866025  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000104
4 4.544489 1 1.219579  4 1 0 0   0 0 0  0.000000 0.000000  2.559313	0 0.000135
8 6.492128 1 1.446306  8 1 0 0   0 0 0  0.000000 0.000000  4.905349	0 0.000147
16 8.208935 1 1.699714  16 1 0 0   0 0 0  0.000000 0.000000  8.850956	0 0.000196
32 9.031271 1 2.327888  32 1 0 0   0 0 0  0.000000 0.000000  16.795490	0 0.000217
64 10.531674 1 2.941021  64 1 0 0   0 0 0  0.000000 0.000000  30.711752	0 0.000295
128 12.168387 1 3.491211  128 1 0 0   0 0 0  0.000000 0.000000  55.825008	0 0.000427
256 13.961714 7 3.993902  256 1 0 0   0 0 0  0.000000 0.000000  92.348533	0 0.000547
512 16.024405 10 4.578834  505 1 0 0   0 0 0  0.000000 0.000000  150.572897	0 0.000898
1024 18.509979 20 5.386539  959 1 0 0   0 0 0  0.000000 0.000000  254.704933	0 0.001375
2048 21.477031 54 6.620171  1757 1 0 0   0 0 0  0.000000 0.000000  459.876501	0 0.002537
4096 25.047245 97 8.141177  3264 1 0 0   0 0 0  0.000000 0.000000  750.571769	0 0.004466
8192 29.237086 173 10.053588  5738 1 0 0   0 0 0  0.000000 0.000000  1259.448444	0 0.009219
16384 34.263654 351 12.395717  9835 4 0 0   0 0 0  0.000000 0.000000  2035.026830	0 0.017552
32768 40.438266 650 15.285518  16950 4 0 0   0 0 0  0.000000 0.000000  3511.483664	0 0.036118
65536 47.463557 1323 18.651607  30451 6 0 0   0 0 0  0.000000 0.000000  6103.800834	0 0.074625
131072 55.218258 2628 23.258427  56389 10 0 0   0 0 0  0.000000 0.000000  11031.917397	0 0.154288
262144 63.895899 5304 29.519719  103052 21 0 0   0 0 0  0.000000 0.000000  19616.278748	0 0.331220
524288 73.465575 10563 37.880817  193481 35 0 0   0 0 0  0.000000 0.000000  37158.074594	0 0.770299
1048576 83.335879 21009 50.836976  377679 79 0 0   0 0 0  0.000000 0.000000  73314.711457	0 1.792274
2097152 93.281364 41989 69.286747  750858 180 0 0   0 0 0  0.000000 0.000000  145957.496691	0 4.301401
4194304 103.184974 83288 93.621123  1514856 404 0 0   0 0 0  0.000000 0.000000  295675.850078	0 10.147082
8388608 112.883513 166585 121.104530  3092314 791 4 0   0 0 0  0.000000 0.000000  609063.850254	0 26.005646
10000000 115.291651 198902 128.596687  3710919 946 4 0   0 0 0  0.000000 0.000000  731656.741472	0 37.885948
