2 1.817796 1 0.707107  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.001186
4 1.875504 1 1.345583  4 1 0 0   0 0 0  0.000000 0.000000  2.505994	0 0.001211
8 7.372172 2 2.946343  8 1 0 0   0 0 0  0.000000 0.000000  4.958668	0 0.001313
16 9.868034 2 2.525530  16 1 0 0   0 0 0  0.000000 0.000000  9.970656	0 0.001330
32 16.590993 5 4.620593  32 1 0 0   0 0 0  0.000000 0.000000  20.207907	0 0.001434
64 29.661810 8 6.215096  64 1 0 0   0 0 0  0.000000 0.000000  40.202537	0 0.001623
128 35.993470 18 6.842401  128 1 0 0   0 0 0  0.000000 0.000000  80.884945	0 0.001897
256 45.625979 43 7.732757  256 1 0 0   0 0 0  0.000000 0.000000  162.089804	0 0.002380
512 54.594913 91 9.087900  512 1 0 0   0 0 0  0.000000 0.000000  320.287321	0 0.002736
1024 65.257267 183 10.656567  1024 1 0 0   0 0 0  0.000000 0.000000  632.363513	0 0.003985
2048 76.467826 373 12.343088  2048 1 0 0   0 0 0  0.000000 0.000000  1247.504985	0 0.006285
4096 90.374928 833 14.833552  4096 1 0 0   0 0 0  0.000000 0.000000  2462.378732	0 0.009779
8192 106.336002 1985 17.818669  8192 1 0 0   0 0 0  0.000000 0.000000  4842.966096	0 0.019484
16384 127.205763 4887 21.692751  16384 1 0 0   0 0 0  0.000000 0.000000  9592.357322	0 0.044569
32768 152.094711 11739 26.728817  32768 1 0 0   0 0 0  0.000000 0.000000  18996.178608	0 0.100078
65536 183.168855 28895 33.175203  65536 1 0 0   0 0 0  0.000000 0.000000  37708.433463	0 0.228741
131072 220.434258 69699 41.268486  131072 1 0 0   0 0 0  0.000000 0.000000  74847.899722	0 0.548010
262144 267.852662 172811 51.673083  262144 1 0 0   0 0 0  0.000000 0.000000  148794.708096	0 1.606589
524288 326.855682 428318 64.753768  524288 1 0 0   0 0 0  0.000000 0.000000  296217.944499	0 4.994485
1000000 394.618172 994648 80.080091  1000000 1 2 2   0 0 0  0.000000 0.000000  563100.033761	0 14.668981
